PoiId;nome;latitude;longitude;tipo;endereco
1;Giraffas;-12.9366876;-38.3945855;fast food;Av. Luís Viana Filho  8544 - Paralela  Salvador - BA  41730-101  Brazil
2;Spoleto;-12.9373883;-38.3952245;fast food;Av. Luís Viana Filho  8544 - Paralela  Salvador - BA  41730-101  Brazil
3;McDonald's;-12.9092181;-38.3518164;fast food;Rodovia  BA-526  305  Salvador - BA  41510-000  Brazil
4;Giraffas;-12.9094541;-38.35067799999999;fast food;Rod Ba 526 305-piso  L3 Salão coml 3013 - São Cristóvão  Salvador - BA  41510-000  Brazil
5;Subway;-12.935377;-38.392347;fast food;Campus FTC - Av. Luís Viana Filho  8812 - Loja 16 - Paralela  Salvador - BA  41730-101  Brazil
6;Bob's Shakes;-12.9137223;-38.3357009;fast food;Praça Gago Coutinho  S/N - São Cristóvão  Salvador - BA  41510-055  Brazil
7;Giraffas;-12.9137397;-38.3344951;fast food;Salvador International Airport - Deputado Luís Eduardo Magalhães - Praça Gago Coutinho  S/N - São Cristóvão  Salvador - BA  41510-045  Brazil
8;Spoleto;-12.9817592;-38.4642417;fast food;Shopping da Bahia - Av. Tancredo Neves  148 - Caminho das Árvores  Salvador - BA  41820-908  Brazil
9;McDonald's;-13.0125729;-38.4834309;fast food;Rua Oswaldo Cruz  s/n - Rio Vermelho  Salvador - BA  41940-000  Brazil
10;Subway;-12.9392897;-38.3422141;fast food;Alameda Dilson Jatahy Fonseca  601 - Stella Maris  Salvador - BA  41600-100  Brazil
11;McDonald's;-12.9782386;-38.4550994;fast food;Av. Tancredo Neves  2915 - Store 3028 / 3029 - Caminho das Árvores  Salvador - BA  41820-021  Brazil
12;Sal e Brasa Grill Express Salvador Norte Shopping;-12.9095109;-38.3507427;fast food;BA-526  305 - São Cristóvão  Salvador - BA  41510-000  Brazil
13;McDonald's;-12.9817061;-38.4646255;fast food;Av. Tancredo Neves  148 - quadra Z3 loja 11 - Caminho das Árvores  Salvador - BA  41828-900  Brazil
