PoiId,Discussão,Nome,Preferência,Latitude,Longitude,Endereço
193,4, Muncab - National Museum of Afro Brazilian Culture,museum,-12.9761485,-38.5124649,R. das Vassouras  25 - Centro Historico  Salvador - BA  40020-056  Brazil}
199,4, Museum of Brazilian Music,museum,-12.973825300000001,-38.508487,R. das Laranjeiras  28 - Pelourinho  Salvador - BA  40026-230  Brazil}
378,5, Forte de Santo Antonio alem do Carmo,tourist_attraction,-12.9636017,-38.5039186,Largo de Santo Antonio Alem do Carmo  s/n - Santo Antonio  Salvador - BA  40301-330  Brazil}
349,4, Shopping Capemi Salvador,shopping_mall,-12.9831,-38.465,R. da Alfazema  752 - Caminho das arvores  Salvador - BA  41820-710  Brazil}
189,3, Museum of Mercy,museum,-12.973769599999999,-38.5118176,R. da Misericordia  06 - Centro Historico  Salvador - BA  40020-200  Brazil}
198,3, Child Museum,museum,-12.9609679,-38.403775399999994,480  R. do Mangalo  152 - Patamares  Salvador - BA  41680-048  Brazil}
183,3, Bahia Museum of Art,museum,-12.9936599,-38.5259563,Av. Sete de Setembro  2340 - Corredor da Vitoria  Salvador - BA  40080-004  Brazil}
182,3, Bahia Nautico Museum,museum,-13.010278300000001,-38.532850700000004,Largo do Farol da Barra  s/n - Barra  Salvador - BA  40140-650  Brazil}
140,2, CAFETERIA FLORIDA,cafe,-13.0039875,-38.502319899999996,Av. Anita Garibaldi  1815 - Ondina  Salvador - BA  40170-120  Brazil}
352,2, Cia Maritima Salvador Shopping,shopping_mall,-12.9954162,-38.454258100000004,Salvador Shopping - Caminho das arvores  Salvador - BA  41820-000  Brazil}
193,4, Muncab - National Museum of Afro Brazilian Culture,museum,-12.9761485,-38.5124649,R. das Vassouras  25 - Centro Historico  Salvador - BA  40020-056  Brazil}
378,5, Forte de Santo Antonio alem do Carmo,tourist_attraction,-12.9636017,-38.5039186,Largo de Santo Antonio Alem do Carmo  s/n - Santo Antonio  Salvador - BA  40301-330  Brazil}
349,4, Shopping Capemi Salvador,shopping_mall,-12.9831,-38.465,R. da Alfazema  752 - Caminho das arvores  Salvador - BA  41820-710  Brazil}
140,2, CAFETERIA FLORIDA,cafe,-13.0039875,-38.502319899999996,Av. Anita Garibaldi  1815 - Ondina  Salvador - BA  40170-120  Brazil}
83,5, Ondina Beach,beach,-13.0103784,-38.5120368,Ondina Beach - Ondina  Salvador - State of Bahia  40170-010  Brazil}
43,3, Alerta Praia Bar,bar,-12.950661199999999,-38.3635003,R. Aristides Milton  516 - Itapua  Salvador - BA  41301-110  Brazil}
260,5, Porto Brasil,restaurant,-12.991871699999999,-38.4532083,Rua Miguel Navarro Y Canizares  428 - Pituba  Salvador - BA  41810-215  Brazil}
146,2, Giraffas,fast-food,-12.936687599999999,-38.3945855,Av. Luis Viana Filho  8544 - Paralela  Salvador - BA  41730-101  Brazil}
199,4, Museum of Brazilian Music,museum,-12.973825300000001,-38.508487,R. das Laranjeiras  28 - Pelourinho  Salvador - BA  40026-230  Brazil}
393,2, Mirante da Praca da Se,tourist_attraction,-12.9733319,-38.5118686,Comercio
(MP - Recomendacao Diversificada),,,,,,
