Discussão,Nome,Preferência,Latitude,Longitude,Endereço,MP Recomendacao Standard,,,,,,,,
2,Bar e Restaurante Aconchego,bar, -12.9194206, -38.3631426,Caminho 18 | Mussurunga I Gleba A  S/N - Mussurunga I  Salvador - BA  41490-330  Brazil,,,,,,,,,
3,Sentollas Bar e Restaurante,bar, -12.967751, -38.4082736,R. Manoel Antônio Galvão,,,,,,,361 - Pituaçu,Salvador - BA,41741-550
4,Nova Alegria Bar e Restaurante,bar, -12.9693386, -38.437136,Av. Jorge Amado  s/n - Imbui  Salvador - BA  41720-005  Brazil,,,,,,,,,
4,Rua 15 Restaurante e Bar,bar, -12.9795299, -38.4299455,Av. Iemanja - Boca do Rio  Salvador - BA  41710-755  Brazil,,,,,,,,,
4,Varanda Ferreira Bar e Restaurante,bar, -12.9652172, -38.4326806,Estr. das Pedrinhas  03 - Imbui  Salvador - BA  41720-340  Brazil,,,,,,,,,
3,Posto 12 - Bar e Restaurante,bar, -12.9506237, -38.3631041,R. Aristídes Milton,,,,,,,33 - Itapuã,Salvador - BA,41610-011
2,Ondina Beach,beach, -13.0103784, -38.5120368,Ondina Beach - Ondina  Salvador - State of Bahia  40170-010  Brazil,,,,,,,,,
3,Zaccaria Bar,bar, -12.9935325, -38.4555036,R. das Margaridas,,,,,,,90 - Pituba,Salvador - BA,41810-100
2,Bar do Americo,bar, -12.9321912, -38.4216671,R. Prof. Milton Santos,,,,,,,2 - Canabrava,Salvador - BA,41250-470
3,Bar Zulu,bar, -12.9742321, -38.5082679,R. das Laranjeiras  15 - Pelourinho  Salvador - BA  40026-230  Brazil,,,,,,,,,
2,Bar e Restaurante Aconchego,bar, -12.9194206, -38.3631426,Caminho 18 | Mussurunga I Gleba A  S/N - Mussurunga I  Salvador - BA  41490-330  Brazil,,,,,,,,,
2,Ondina Beach,beach, -13.0103784, -38.5120368,Ondina Beach - Ondina  Salvador - State of Bahia  40170-010  Brazil,,,,,,,,,
1,Praca Barros Reis,park, -12.9633805, -38.47905859999999,Av. Barros Reis  401-421 - Sao Goncalo  Salvador - BA  40310-060  Brazil,,,,,,,,,
2,Midlej Galeria de Arte,art_gallery, -12.9850358, -38.4580604,Alameda das Cajazeiras  138 - Caminho das arvores  Salvador - BA  41820-470  Brazil,,,,,,,,,
3,Mercado Modelo,tourist_attraction, -12.9730385, -38.5314304,Praca Visc. de Cayru  s/n - Comercio  Salvador - BA  40015-170  Brazil,,,,,,,,,
4,McDonalds,fast-food, -12.9092181, -38.3518164,Rodovia  BA-526  305  Salvador - BA  41510-000  Brazil,,,,,,,,,
1,Cine Daten Paseo,movie_theater, -12.9955401, -38.4712012,Rua Rubens Guelli  135 - Itaigara  Salvador - BA  41815-135  Brazil,,,,,,,8544 - Paralela,Salvador - BA,41730-101
4,Sal e Brasa Grill Express Shopping Paralela,restaurant, -12.9372045, -38.3955832,Av. Luís Viana Filho,,,,,,,361 - Pituaçu,Salvador - BA,41741-550
3,Sentollas Bar e Restaurante,bar, -12.967751, -38.4082736,R. Manoel Antônio Galvão,,,,,,,,,
3,Largo do Pelourinho,tourist_attraction, -12.9715916, -38.5083826,Largo do Pelourinho - Pelourinho  Salvador - BA  40026-280  Brazil,,,,,,,,,
