PoiId,Jadna,Marivaldo,Ramon,Média,Discussão,Nome,Preferência,Endereço,MP Recomendacao Standard
57,3,1,2,2,2,Portal da Bahia,restaurant,Av. Luis Viana Filho  8544 - Paralela  Salvador - BA  41730-101  Brazil,
72,4,1,3,"2,666666667",3,Porto Brasil,restaurant,Rua Miguel Navarro Y Canizares  428 - Pituba  Salvador - BA  41810-215  Brazil,
59,4,2,4,"3,333333333",3.33,Cathedrall,restaurant,Alameda Praia de Camburiu  16 - Stella Maris  Salvador - BA  41600-250  Brazil,
47,2,1,3,2,2,Paraiso Tropical,restaurant,Rua Edgard Loureiro  98 - B - Cabula  Salvador - BA  40342-100  Brazil,
55,1,1,2,"1,333333333","1,333333333",Restaurante Itapua,restaurant,R. Flor do Bosque  126 - Itapua  Salvador - BA  41610-190  Brazil,
70,4,2,4,"3,333333333",3.5,Casa di Vina Restaurante,restaurant,R. Flamengo  44 - Itapua  Salvador - BA  41635-480  Brazil,
83,4,2,3,3,3,Mokeka Brasil,restaurant,Av. Octavio Mangabeira  Salvador - BA  41706-690  Brazil,
63,5,2,4,"3,666666667",4,Beach Stop,restaurant,R. Jose Augusto Tourinho Dantas  214 - Stella Maris  Salvador - BA  41603-110  Brazil,
72,4,2,3,3,3,Mistura,restaurant,R. Prof. Souza Brito  41 - Itapua  Salvador - BA  41640-485  Brazil,
73,5,4,5,"4,666666667","4,666666667",Ki-Mukeka (Itapua) ,restaurant,Rua do Vento Sul QD 3  lote 5 - Itapua  Salvador - BA  41620-290  Brazil,
PoiId,Jadna,Marivaldo,Ramon,Média,Discussão,Nome,Preferência,Endereço,
57,3,1,2,2,2,Portal da Bahia,restaurant,Av. Luis Viana Filho  8544 - Paralela  Salvador - BA  41730-101  Brazil,
83,1,1,1,1,1,Bar e Restaurante Aconchego,bar,Caminho 18 | Mussurunga I Gleba A  S/N - Mussurunga I  Salvador - BA  41490-330  Brazil,
252,1,2,2,"1,666666667",1,Rainha Cinema Digital,movie_theater,R. Frederico SimÃµes  98 - Caminho das arvores  Salvador - BA  41820-774  Brazil,
4,3,5,3,"3,666666667","3,666666667",Ondina Beach,beach,Ondina Beach - Ondina  Salvador - State of Bahia  40170-010  Brazil,
359,3,4,2,3,3,CAFETERIA FLORIDA,cafe,Av. Anita Garibaldi  1815 - Ondina  Salvador - BA  40170-120  Brazil,
148,4,3,3,"3,333333333",3,Porto Brasil,restaurant,Rua Miguel Navarro Y Canizares  428 - Pituba  Salvador - BA  41810-215  Brazil,
165,5,5,5,5,5,Cathedral of Salvador,tourist_attraction,Largo Terreiro de Jesus  s/n - Pelourinho  Salvador - BA  40020-210  Brazil,
336,1,1,1,1,1,Boates aconchegantes,night_club,R. do Limoeiro  106 - Nazare  Salvador - BA  40055-150  Brazil,
72,4,2,4,"3,333333333","3,333333333",Cathedrall,restaurant,Alameda Praia de Camburiu  16 - Stella Maris  Salvador - BA  41600-250  Brazil,
360,4,4,5,"4,333333333",4.5,Zaccaria Bar,bar,R. das Margaridas 90 - Pituba Salvador - BA 41810-100,
