PoiId,Fred,Jadna,Amanda,Média,Discussão,Nome,Categoria,Latitude,Longitude,Endereço
83,2,3,3,"2,67",3.00,Ondina Beach,beach, -13.0103784, -38.5120368,Ondina Beach - Ondina  Salvador - State of Bahia  40170-010  Brazil
79,4,4,4,"4,00",4.00,Salvador Beach Club,beach, -12.9661911, -38.4038636,Salvador Beach Club - Av. Octavio Mangabeira  2012 - Patamares  Salvador - BA  41680-000  Brazil
84,5,5,3,"4,33",4.33,Stella Maris beach,beach, -12.948816699999998, -38.341097,Stella Maris beach  State of Bahia  41600-090  Brazil
189,2,2,3,"2,33",2.33,Museum of Mercy,museum, -12.973769599999999, -38.5118176,R. da Misericordia  06 - Centro Historico  Salvador - BA  40020-200  Brazil
198,1,2,2,"1,67",1.67,Child Museum,museum, -12.9609679, -38.403775399999994,480  R. do Mangalo  152 - Patamares  Salvador - BA  41680-048  Brazil
106,1,4,3,"2,67",3.00,Jardim de Alah Beach,beach, -12.997592, -38.4419699,Salvador - BA 41750-240
199,4,3,3,"3,33",3.33,Museum of Brazilian Music,museum, -12.973825300000001, -38.508487,R. das Laranjeiras  28 - Pelourinho  Salvador - BA  40026-230  Brazil
188,3,3,4,"3,33",3.33,Casa do Carnaval da Bahia,museum, -12.9724854, -38.51087570000001,Praca Ramos de Queiros  s/n - Pelourinho  Salvador - BA  40026-055  Brazil
205,2,2,3,"2,33",2.33,Archaeological Museum of Embasa,museum, -12.9566984, -38.4949036,R. Saldanha Marinho  s/n - Caixa Dagua  Salvador - BA  40320-475  Brazil
181,3,3,4,"3,33",3.33,Cultural Afro Brazilian Museum,museum, -12.976115, -38.5125691,R. das Vassouras  1-23 - Centro  Salvador - BA  40020-020  Brazil
83,2,3,3,"2,67",3.00,Ondina Beach,beach, -13.0103784, -38.5120368,Ondina Beach - Ondina  Salvador - State of Bahia  40170-010  Brazil
189,2,2,3,"2,33",2.33,Museum of Mercy,museum, -12.973769599999999, -38.5118176,R. da Misericordia  06 - Centro Historico  Salvador - BA  40020-200  Brazil
371,4,3,4,"3,67",4.00,Cathedral of Salvador,tourist_attraction, -12.9728526, -38.5104604,Largo Terreiro de Jesus  s/n - Pelourinho  Salvador - BA  40020-210  Brazil
23,5,2,2,"3,00",3.50,Padaria Portugal,bakery, -12.9495448, -38.364889399999996,Praca Dorival Caymmi  50 - Itapua  Salvador - BA  41620-500  Brazil
259,5,4,2,"3,67",3.50,Portal da Bahia,restaurant, -12.937437300000001, -38.3953565,Av. Luis Viana Filho  8544 - Paralela  Salvador - BA  41730-101  Brazil
148,3,4,2,"3,00",3.00,McDonalds,fast-food, -12.9092181, -38.3518164,Rodovia  BA-526  305  Salvador - BA  41510-000  Brazil
222,3,1,2,"2,00",2.00,Boates aconchegantes,night_club, -12.9722538, -38.50138320000001,R. do Limoeiro  106 - Nazare  Salvador - BA  40055-150  Brazil
87,2,3,3,"2,67",3.00,Praia do Farol,beach, -12.952961, -38.348126,Praia do Farol - Itapua  Salvador - State of Bahia  41600-090  Brazil
24,1,3,3,"2,33",2.50,Paula Cake Design,bakery, -12.947428, -38.376274,R. Juiz Orlando Heleno de Melo  19 - Piata  Salvador - BA  41650-465  Brazil
194,2,2,2,"2,00",2.00,Carlos Costa Pinto Museum,museum, -12.9947599, -38.527317700000005,Av. Sete de Setembro  2490 - Vitoria  Salvador - BA  40080-005  Brazil
