PoiId,Amanda,Diego,Antonio,Média,Discussão,Nome,Preferência,Endereço,MP Recomendacao Standard
57,3,3,3,3,2,Praia do Farol,beach,Praia do Farol - Itapua  Salvador - State of Bahia  41600-090  Brazil,
72,5,4,4,"4,333333333","4,333333333",Praia do Porto da Barra,beach,Praia do Porto da Barra - Av. Sete de Setembro  s/n - Barra  Salvador - BA  40140-030  Brazil,
59,3,3,3,3,3,Praia da Penha,beach,Ribeira - Salvador - BA,
47,4,4,3,"3,666666667",4,Praia da Paciencia,beach,Praia da Paciencia - Rio Vermelho  Salvador - State of Bahia  40170-010  Brazil,
55,2,2,2,2,2,Praia da Pituba,beach,Bahia,
70,2,2,2,2,2,Praia da Boca do Rio,beach,Bahia,
83,2,2,3,"2,333333333",3,Praia da Pedra do Sal,beach,R. Alves Ribeiro. 151 - Itapuã. Salvador - BA. 41301-110,
63,3,4,4,"3,666666667","3,666666667",Praia da Boa Viagem,beach,Salvador - BA,
72,3,2,3,"2,666666667","2,666666667",Praia da 3a Ponte,beach,Praia da 3a Ponte  Salvador - State of Bahia  Brazil,
73,3,3,3,3,3,Praia Itapua,beach,Praia Itapua - Av. Octavio Mangabeira - Piata  Salvador - BA  Brazil,
57,3,3,3,3,2,Praia do Farol,beach,Praia do Farol - Itapua  Salvador - State of Bahia  41600-090  Brazil,
83,3,2,3,"2,666666667","2,666666667",Ponto Estadio Pituacu,stadium,Av. Luis Viana Filho  5492-5614 - Pituacu  Salvador - BA  41680-400  Brazil,
252,4,1,3,"2,666666667","2,666666667",CAFETERIA FLORIDA,cafe,Av. Anita Garibaldi  1815 - Ondina  Salvador - BA  40170-120  Brazil,
4,3,2,3,"2,666666667","2,666666667",Cinema e Video,movie_theater,Patamares  Salvador - State of Bahia  41741-590  Brazil,
359,4,2,2,"2,666666667",2,Padaria Portugal,bakery,Praca Dorival Caymmi  50 - Itapua  Salvador - BA  41620-500  Brazil,
148,3,2,3,"2,666666667","2,666666667",Porto Brasil,restaurant,Rua Miguel Navarro Y Canizares  428 - Pituba  Salvador - BA  41810-215  Brazil,
165,5,3,4,4,4,Mercado Modelo,tourist_attraction,Praca Visc. de Cayru  s/n - Comercio  Salvador - BA  40015-170  Brazil,
336,5,3,3,"3,666666667","3,666666667",Salvador Zoo and Botanical Park,park,Tv. Alto de Ondina  s/n - Ondina  Salvador - BA  40170-110  Brazil,
72,5,4,4,"4,333333333","4,333333333",Praia do Porto da Barra,beach,Praia do Porto da Barra - Av. Sete de Setembro  s/n - Barra  Salvador - BA  40140-030  Brazil,
360,4,2,4,"3,333333333","3,333333333",Nova Alegria Bar e Restaurante,bar,Av. Jorge Amado  s/n - Imbui  Salvador - BA  41720-005  Brazil,
