PoiId,s,JoãLuio,Paulo,Média,Discussão,Nome,Categoria,Endereço,MP Recomendacao Standard,,,,,,
57,3,3,4,"3,333333333",3.33,Cinema e Video,movie_theater,Patamares  Salvador - State of Bahia  41741-590  Brazil,,,,,,,
72,2,3,3,"2,666666667",2.66,Cine Daten Paseo,movie_theater,Rua Rubens Guelli  135 - Itaigara  Salvador - BA  41815-135  Brazil,,,,,,,
59,4,3,4,"3,666666667",3.33,Cinepolis,movie_theater,Rod. BA 526  n 305 3017 - Sao Cristovao  Salvador - BA  41301-110  Brazil,,,,,,,
47,4,4,2,"3,333333333",3.33,Orient Cinemas,movie_theater,Av. Luis Viana Filho  8.544 - Paralela  Salvador - BA  41730-101  Brazil,,,,,,,
55,4,4,4,4,4,UCI Orient Shopping da Bahia,movie_theater,Av. Tancredo Neves  148 - Caminho das arvores  Salvador - BA  41820-972  Brazil,,,,,,,
70,3,4,4,"3,666666667",3.66,UCI Orient Shopping Barra,movie_theater,Shopping Center Barra  Av. Centenario  2992 - Chame-Chame  Salvador - BA  40140-400  Brazil,,,,,,,
83,2,4,2,"2,666666667",3,UFBA Art Room,movie_theater,Av. Reitor Miguel Calmon  s/n  PAC Vale do - Canela  Salvador - BA  40110-100  Brazil,,,,,,,
63,2,3,2,"2,333333333",2.33,Rainha Cinema Digital,movie_theater,R. Frederico SimÃµes  98 - Caminho das arvores  Salvador - BA  41820-774  Brazil,,,,,,,
72,5,3,2,"3,333333333",3.5,Saladearte Film Museum,movie_theater,Av. Sete de Setembro  2195 - Vitoria  Salvador - BA  40080-001  Brazil,,,,,,,
73,3,2,1,2,2,Room Walter da Silveira,movie_theater,R. Gen. Labatut  27 - Barris  Salvador - BA  40070-100  Brazil,,,,,,,
PoiId,Luis,João,Paulo,Média,Discussão,Nome,Categoria,Endereço,,,,,,,
57,3,3,4,"3,333333333",3.33,Cinema e Video,movie_theater,Patamares  Salvador - State of Bahia  41741-590  Brazil,,,,,,,
83,2,2,2,2,2,Shopping Capemi Salvador,shopping_mall,R. da Alfazema  752 - Caminho das arvores  Salvador - BA  41820-710  Brazil,,,,,,,
252,3,5,5,"4,333333333",4.33,Praia Itapua,beach,Praia Itapua - Av. Octavio Mangabeira - Piata  Salvador - BA  Brazil,,,,,,,
4,2,3,5,"3,333333333",3.33,McDonalds,fast-food,Rodovia  BA-526  305  Salvador - BA  41510-000  Brazil,,,,,90 - Pituba,Salvador - BA,41810-100
359,2,3,2,"2,333333333",2.5,Zaccaria Bar,bar,R. das Margaridas 90 Pituba,,,,,,,
148,2,3,3,"2,666666667",2.66,Cine Daten Paseo,movie_theater,Rua Rubens Guelli  135 - Itaigara  Salvador - BA  41815-135  Brazil,,,,,,,
165,4,5,4,"4,333333333","4,333333333",Mercado Modelo,tourist_attraction,Praca Visc. de Cayru  s/n - Comercio  Salvador - BA  40015-170  Brazil,,,,,,,
336,2,3,2,"2,333333333","2,333333333",CAFE COLONIAL AS TReS MARIAS,cafe,Alameda da Praia - Praia de Caratingui  n 74 - Centro Comercial Tropical Center - Stella Maris  Salvador - BA  41600-115  Brazil,,,,,,,
72,4,3,4,"3,666666667","3,666666667",Cinepolis,movie_theater,Rod. BA 526  n 305 3017 - Sao Cristovao  Salvador - BA  41301-110  Brazil,,,,,,,
360,5,5,4,"4,666666667","4,666666667",Salvador Shopping,shopping_mall,Salvador Shopping - Caminho das arvores  Salvador - BA  41820-000  Brazil,,,,,,,
(MP - Recomendacao Diversificada),,,,,,,,,,,,,,,
