PoiId,Jadna,Victor,Lucas,Média,Discussão,Nome,Preferência,Endereço,MP Recomendacao Standard
57,1,1,1,1,1,Shopping Capemi Salvador,shopping_mall,R. da Alfazema  752 - Caminho das arvores  Salvador - BA  41820-710  Brazil,
72,1,1,1,1,1,Cia Maritima Salvador Shopping,shopping_mall,Salvador Shopping - Caminho das arvores  Salvador - BA  41820-000  Brazil,
59,4,1,3,"2,666666667","2,666666667",Shopping Paralela,shopping_mall,Av. Luis Viana Filho  8544 - Alphaville  Salvador - BA  41730-101  Brazil,
47,3,1,4,"2,666666667","2,666666667",Shopping da Bahia,shopping_mall,Av. Tancredo Neves  148 - Caminho das arvores  Salvador - BA  41820-972  Brazil,
55,1,1,3,"1,666666667","1,666666667",Shopping Piedade,shopping_mall,Rua Conselheiro Junqueira Ayres  165 - Dois de Julho  Salvador - BA  40070-080  Brazil,
70,1,1,1,1,1,Shopping Sumare,shopping_mall,Av. Tancredo Neves  1506 - Caminho das arvores  Salvador - BA  41820-020  Brazil,
83,1,1,1,1,1,Shopping Bahiamar,shopping_mall,Rua Arthur de Azevedo Machado  497 - Costa Azul  Salvador - BA  41760-000  Brazil,
63,2,1,2,"1,666666667","1,666666667",Shopping Itaigara,shopping_mall,Av. Antonio Carlos Magalhaes  656 - Pituba  Salvador - BA  41825-000  Brazil,
72,2,1,1,"1,333333333","1,333333333",Shopping da Gente,shopping_mall,Av. Antonio Carlos Magalhaes  4591 - Iguatemi  Salvador - BA  40280-901  Brazil,
73,2,1,3,2,2,Shopping Center Lapa,shopping_mall,R. Portao da Piedade  155 - Dois de Julho  Salvador - BA  40070-045  Brazil,
57,1,1,1,1,1,Shopping Capemi Salvador,shopping_mall,R. da Alfazema  752 - Caminho das arvores  Salvador - BA  41820-710  Brazil,
83,1,1,1,1,1,Bar e Restaurante Aconchego,bar,Caminho 18 | Mussurunga I Gleba A  S/N - Mussurunga I  Salvador - BA  41490-330  Brazil,
252,2,1,1,"1,333333333","1,333333333",Igreja Nossa Senhora da Luz,tourist_attraction,Praça Nossa Senhora da Luz s/n - Pituba	Salvador - BA	41830-001,
4,2,1,3,2,2,Cine Daten Paseo,movie_theater,Rua Rubens Guelli  135 - Itaigara  Salvador - BA  41815-135  Brazil,
359,3,5,4,4,4,Ondina Beach,beach,Ondina Beach - Ondina  Salvador - State of Bahia  40170-010  Brazil,
148,1,1,1,1,1,Boates aconchegantes,night_club,R. do Limoeiro  106 - Nazare  Salvador - BA  40055-150  Brazil,
165,4,1,2,"2,333333333","2,333333333",McDonalds,fast-food,Rodovia  BA-526  305  Salvador - BA  41510-000  Brazil,
336,2,1,3,2,2,Shopping Center Lapa,shopping_mall,R. Portao da Piedade  155 - Dois de Julho  Salvador - BA  40070-045  Brazil,
72,4,3,1,"2,666666667","2,666666667",Zaccaria Bar,bar,R. das Margaridas 90 - Pituba	Salvador - BA	41810-100,
360,4,4,4,4,4,Orient Cinemas,movie_theater,Av. Luis Viana Filho  8.544 - Paralela  Salvador - BA  41730-101  Brazil,
(MP - Recomendacao Diversificada),,,,,,,,,
