Joan Melo,Andrea Santos,Eder Pereira,Média,Discussão,Nome,Categoria,Endereço,MP Recomendacao Standard
3,4,5,4,4,Porto Brasil,restaurant,Rua Miguel Navarro Y Canizares  428 - Pituba  Salvador - BA  41810-215  Brazil,
5,5,4,"4,666666667",4.66,Cathedrall,restaurant,Alameda Praia de Camburiu  16 - Stella Maris  Salvador - BA  41600-250  Brazil,
5,5,5,5,5,Paraiso Tropical,restaurant,Rua Edgard Loureiro  98 - B - Cabula  Salvador - BA  40342-100  Brazil,
4,3,3,"3,333333333",3.333.333.333,Restaurante Itapua,restaurant,R. Flor do Bosque  126 - Itapua  Salvador - BA  41610-190  Brazil,
4,4,3,"3,666666667",3.666.666.667,Casa di Vina Restaurante,restaurant,R. Flamengo  44 - Itapua  Salvador - BA  41635-480  Brazil,
5,3,4,4,4,Mokeka Brasil,restaurant,Av. Octavio Mangabeira  Salvador - BA  41706-690  Brazil,
5,5,3,"4,333333333",4.333.333.333,Beach Stop,restaurant,R. Jose Augusto Tourinho Dantas  214 - Stella Maris  Salvador - BA  41603-110  Brazil,
4,5,3,4,4,Mistura,restaurant,R. Prof. Souza Brito  41 - Itapua  Salvador - BA  41640-485  Brazil,
5,5,3,"4,333333333",4.333.333.333,Ki-Mukeka (Itapua) ,restaurant,Rua do Vento Sul QD 3  lote 5 - Itapua  Salvador - BA  41620-290  Brazil,
4,4,3,"3,666666667",3.666.666.667,Sabores De Itapua,restaurant,Av. Dorival Caymmi  1 - Itapua  Salvador - BA  41635-151  Brazil,
3,3,,3,3,Porto Brasil,restaurant,Rua Miguel Navarro Y Canizares  428 - Pituba  Salvador - BA  41810-215  Brazil,
5,5,,5,5,Farol da Barra,beach,Farol da Barra  Salvador - State of Bahia  Brazil,
2,1,,"1,5",1.5,Shopping Capemi Salvador,shopping_mall,R. da Alfazema  752 - Caminho das arvores  Salvador - BA  41820-710  Brazil,
5,3,,4,4,Cathedrall,restaurant,Alameda Praia de Camburiu  16 - Stella Maris  Salvador - BA  41600-250  Brazil,
5,5,,5,5,Forte de Santo Antonio alem do Carmo,tourist_attraction,Largo de Santo Antonio Alem do Carmo  s/n - Santo Antonio  Salvador - BA  40301-330  Brazil,
4,4,,4,4,Paraiso Tropical,restaurant,Rua Edgard Loureiro  98 - B - Cabula  Salvador - BA  40342-100  Brazil,
5,3,,4,4,Bar e Restaurante Aconchego,bar,Caminho 18 | Mussurunga I Gleba A  S/N - Mussurunga I  Salvador - BA  41490-330  Brazil,
5,3,,4,4,Beach Stop,restaurant,R. Jose Augusto Tourinho Dantas  214 - Stella Maris  Salvador - BA  41603-110  Brazil,
5,5,,5,5,Midlej Galeria de Arte,art_gallery,Alameda das Cajazeiras  138 - Caminho das arvores  Salvador - BA  41820-470  Brazil,
4,3,,"3,5",3.5,Mistura,restaurant,R. Prof. Souza Brito  41 - Itapua  Salvador - BA  41640-485  Brazil,
