Fred,Vitor,Ademário,Média,Discussão,Nome,Categoria,Endereço,MP Recomendacao Standard
5,5,5,"5,00","5,00",Farol da Barra, beach, Farol da Barra  Salvador - State of Bahia  Brazil,
5,5,5,"5,00","5,00",Forte de Santo Antonio alem do Carmo, tourist_attraction, Largo de Santo Antonio Alem do Carmo  s/n - Santo Antonio  Salvador - BA  40301-330  Brazil,
3,5,4,"4,00","4,00",Igreja Nossa Senhora da Luz, tourist_attraction, Praça Nossa Senhora da Luz - s/n - Pituba	Salvador - BA	41830-001,
2,1,3,"2,00","2,00",Igreja de Nossa Senhora Da Ajuda, tourist_attraction, Comercio - Salvador - BA	40301-110,
3,2,3,"2,67","2,67",CAFETERIA FLORIDA, cafe, Av. Anita Garibaldi  1815 - Ondina  Salvador - BA  40170-120  Brazil,
2,1,2,"1,67","1,67",Igreja e Convento de Nossa Senhora da Piedade, tourist_attraction, Praça da Piedade - SN - Barris	Salvador - BA	40060-300,
3,4,4,"3,67","3,67",Igreja Nossa Senhora do Carmo de Salvador, tourist_attraction, R. do Carmo - 1 - Santo Antônio Além do Carmo	Salvador - BA	40301-380,
2,1,3,"2,00","2,00",Igreja Nossa Senhora dos Mares, tourist_attraction, Uruguai - Salvador - BA	40410-400,
3,2,3,"2,67","2,67",Praia do Porto da Barra, beach, Praia do Porto da Barra - Av. Sete de Setembro  s/n - Barra  Salvador - BA  40140-030  Brazil,
4,4,4,"4,00","4,00",Restaurante Itapua, restaurant, R. Flor do Bosque  126 - Itapua  Salvador - BA  41610-190  Brazil,
5,5,5,"5,00","5,00",Farol da Barra, beach, Farol da Barra  Salvador - State of Bahia  Brazil,
5,5,5,"5,00","5,00",Forte de Santo Antonio alem do Carmo, tourist_attraction, Largo de Santo Antonio Alem do Carmo  s/n - Santo Antonio  Salvador - BA  40301-330  Brazil,
3,2,4,"3,00","3,00",CAFETERIA FLORIDA, cafe, Av. Anita Garibaldi  1815 - Ondina  Salvador - BA  40170-120  Brazil,
4,4,4,"4,00","4,00",Restaurante Itapua, restaurant, R. Flor do Bosque  126 - Itapua  Salvador - BA  41610-190  Brazil,
4,1,4,"3,00","3,00",Shopping salvador, shopping_mall, Av. Tancredo Neves  148 - Caminho das arvores  Salvador - BA  41820-908  Brazil,
2,4,3,"3,00","3,00",Bahia Museum of Art, museum, Av. Sete de Setembro  2340 - Corredor da Vitoria  Salvador - BA  40080-004  Brazil,
4,2,4,"3,33","3,33",Blue Beach Bar, bar, R. Barro Vermelho  310 - Rio Vermelho  Salvador - BA  41940-340  Brazil,
2,1,2,"1,67","1,67",Igreja Nossa Senhora dos Mares, tourist_attraction, Uruguai - Salvador - BA	40410-400,
1,1,3,"1,67","1,67",LGBT Night Club, night_club, Av. Reitor Miguel Calmon  2596-2754 - Canela  Salvador - BA  40231-300  Brazil,
5,5,4,"4,67","4,67",Praia Do Flamengo, beach, Praia Do Flamengo - R. Godofredo Filho  n 1911 - Praia do Flamengo  Salvador - BA  41603-285  Brazil,
