Ian,Fred,Litiano,Média,Discussão,Nome,Categoria,Endereço,MP Recomendacao Standard
1,4,4,"3,00",3,Ondina Beach,beach,Ondina Beach - Ondina  Salvador - State of Bahia  40170-010  Brazil,
4,4,3,"3,67",3.67,Praia do Farol,beach,Praia do Farol - Itapua  Salvador - State of Bahia  41600-090  Brazil,
5,3,4,"4,00",4,Shopping salvador,shopping_mall,Av. Tancredo Neves  148 - Caminho das arvores  Salvador - BA  41820-908  Brazil,
4,5,3,"4,00",4,Praia Do Flamengo,beach,Praia Do Flamengo - R. Godofredo Filho  n 1911 - Praia do Flamengo  Salvador - BA  41603-285  Brazil,
5,2,4,"3,67",3.67,Praia de Piata,beach,Av. Octavio Mangabeira - Piata  Salvador - BA  41610-160  Brazil,
1,1,3,"1,67",1.67,Praia do Roma,beach,R. Alzira 1 - Roma	Salvador - BA	40444-080,
1,4,4,"3,00",3,Praia de Ondina,beach,Bahia,
2,1,3,"2,00",2,Praia de Armacao,beach,Bahia,
4,5,3,"4,00",4,Praia de Aleluia,beach,Bahia 41600-090,
3,3,4,"3,33",3.5,Salvador Beach Club,beach,Salvador Beach Club - Av. Octavio Mangabeira  2012 - Patamares  Salvador - BA  41680-000  Brazil,
1,4,4,"3,00",3,Ondina Beach,beach,Ondina Beach - Ondina  Salvador - State of Bahia  40170-010  Brazil,
5,3,4,"4,00",4,Shopping salvador,shopping_mall,Av. Tancredo Neves  148 - Caminho das arvores  Salvador - BA  41820-908  Brazil,
5,4,2,"3,67",3,MIni Zoo (animais domesticos),zoo,Stella Maris  Salvador - State of Bahia  41600-090  Brazil,
2,1,2,"1,67",2,Platinum Lounge and Bar | savior,night_club,Av. Simon Bolivar  166 - Armacao  Salvador - BA  41750-230  Brazil,
3,3,3,"3,00",3,Cine Daten Paseo,movie_theater,Rua Rubens Guelli  135 - Itaigara  Salvador - BA  41815-135  Brazil,
3,3,3,"3,00",3,Mercado Modelo,tourist_attraction,Praca Visc. de Cayru  s/n - Comercio  Salvador - BA  40015-170  Brazil,
4,4,4,"4,00",4,Praia do Farol,beach,Praia do Farol - Itapua  Salvador - State of Bahia  41600-090  Brazil,
3,3,3,"3,00",3,Boteco Da Torre,bar,R. Aristides Milton  s/n - Itapua  Salvador - BA  41610-011  Brazil,
2,2,2,"2,00",2,Boates aconchegantes,night_club,R. do Limoeiro  106 - Nazare  Salvador - BA  40055-150  Brazil,
5,5,3,"4,33",4,Orient Cinemas,movie_theater,Av. Luis Viana Filho  8.544 - Paralela  Salvador - BA  41730-101  Brazil,
