Posicao,PoiId,Nome,Categoria,Endereco,Discussão,MRR,Tecnica
1,87,Praia do Farol,beach,Praia do Farol - Itapua  Salvador - State of Bahia  41600-090  Brazil,,0,Preferencia LM
2,77,Praia do Porto da Barra,beach,Praia do Porto da Barra - Av. Sete de Setembro  s/n - Barra  Salvador - BA  40140-030  Brazil,,0,Preferencia LM
3,263,Restaurante Itapua,restaurant,R. Flor do Bosque  126 - Itapua  Salvador - BA  41610-190  Brazil,,0,Preferencia LM
4,140,CAFETERIA FLORIDA,cafe,Av. Anita Garibaldi  1815 - Ondina  Salvador - BA  40170-120  Brazil,"2,666666667",0,Preferencia LM
5,88,Praia da Penha,beach,Salvador - BA,3,0,Preferencia LM
6,90,Praia da Paciencia,beach,Praia da Paciencia - Rio Vermelho  Salvador - State of Bahia  40170-010  Brazil,4,0,Preferencia LM
7,99,Praia da Pituba,beach,Bahia,2,0,Preferencia LM
8,87,Praia do Farol,beach,Praia do Farol - Itapua  Salvador - State of Bahia  41600-090  Brazil,,0,Preferencia LM
9,78,Praia Do Flamengo,beach,Praia Do Flamengo - R. Godofredo Filho  n 1911 - Praia do Flamengo  Salvador - BA  41603-285  Brazil,,0,Preferencia LM
10,82,Praia de Piata,beach,Av. Octavio Mangabeira - Piata  Salvador - BA  41610-160  Brazil,,0,Preferencia LM
Posicao,PoiId,Nome,Categoria,Endereco,Discussão,MRR,Tecnica
1,87,Praia do Farol,beach,Praia do Farol - Itapua  Salvador - State of Bahia  41600-090  Brazil,,0,Preferencia LM Diversificado
2,263,Restaurante Itapua,restaurant,R. Flor do Bosque  126 - Itapua  Salvador - BA  41610-190  Brazil,,0,Preferencia LM Diversificado
3,140,CAFETERIA FLORIDA,cafe,Av. Anita Garibaldi  1815 - Ondina  Salvador - BA  40170-120  Brazil,"2,666666667",0,Preferencia LM Diversificado
4,77,Praia do Porto da Barra,beach,Praia do Porto da Barra - Av. Sete de Setembro  s/n - Barra  Salvador - BA  40140-030  Brazil,,0,Preferencia LM Diversificado
5,343,Shopping salvador,shopping_mall,Av. Tancredo Neves  148 - Caminho das arvores  Salvador - BA  41820-908  Brazil,,0,Preferencia LM Diversificado
6,208,House of the Seven Lamps,museum,R. de Sao Francisco  3 - Centro  Salvador - BA  40020-320  Brazil,,0,Preferencia LM Diversificado
7,22,JH Decorated Cakes,bakery,Caminho 7 - Cajazeiras 6  Salvador - BA  41336-100  Brazil,,0,Preferencia LM Diversificado
8,78,Praia Do Flamengo,beach,Praia Do Flamengo - R. Godofredo Filho  n 1911 - Praia do Flamengo  Salvador - BA  41603-285  Brazil,,0,Preferencia LM Diversificado
9,151,Sal e Brasa Grill Express Salvador Norte Shopping,fast-food,BA-526  305 - Sao Cristovao  Salvador - BA  41510-000  Brazil,,0,Preferencia LM Diversificado
10,45,Pipa Beach Club,bar,Alameda Cabo Frio  S/N  Salvador - BA  41603-135  Brazil,,0,Preferencia LM Diversificado
