Posicao,PoiId,Nome,Categoria,Endereco,Discussão,Tecnica
1,87,Praia do Farol,beach,Praia do Farol - Itapua  Salvador - State of Bahia  41600-090  Brazil,,Standard AWM
2,77,Praia do Porto da Barra,beach,Praia do Porto da Barra - Av. Sete de Setembro  s/n - Barra  Salvador - BA  40140-030  Brazil,,Standard AWM
3,88,Praia da Penha,beach,Salvador - BA,3,Standard AWM
4,90,Praia da Paciencia,beach,Praia da Paciencia - Rio Vermelho  Salvador - State of Bahia  40170-010  Brazil,4,Standard AWM
5,99,Praia da Pituba,beach,Bahia,2,Standard AWM
6,103,Praia da Boca do Rio,beach,Bahia,2,Standard AWM
7,100,Praia da Pedra do Sal,beach,R. Alves Ribeiro  151 - Itapuã  Salvador - BA  41301-110,3,Standard AWM
8,93,Praia da Boa Viagem,beach,Salvador - BA  40301-155,"3,666666667",Standard AWM
9,263,Restaurante Itapua,restaurant,R. Flor do Bosque  126 - Itapua  Salvador - BA  41610-190  Brazil,,Standard AWM
10,89,Praia da 3a Ponte,beach,Praia da 3a Ponte  Salvador - State of Bahia  Brazil,"2,666666667",Standard AWM
Posicao,PoiId,Nome,Categoria,Endereco,Discussão,Tecnica
1,87,Praia do Farol,beach,Praia do Farol - Itapua  Salvador - State of Bahia  41600-090  Brazil,,AWM Diversificado
2,263,Restaurante Itapua,restaurant,R. Flor do Bosque  126 - Itapua  Salvador - BA  41610-190  Brazil,,AWM Diversificado
3,140,CAFETERIA FLORIDA,cafe,Av. Anita Garibaldi  1815 - Ondina  Salvador - BA  40170-120  Brazil,"2,666666667",AWM Diversificado
4,420,MIni Zoo (animais domesticos),zoo,Stella Maris  Salvador - State of Bahia  41600-090  Brazil,,AWM Diversificado
5,355,Estadio Manoel Barradas - Barradao,stadium,R. Artemio Castro Valente  1 - Canabrava  Salvador - BA  Brazil,,AWM Diversificado
6,343,Shopping salvador,shopping_mall,Av. Tancredo Neves  148 - Caminho das arvores  Salvador - BA  41820-908  Brazil,,AWM Diversificado
7,77,Praia do Porto da Barra,beach,Praia do Porto da Barra - Av. Sete de Setembro  s/n - Barra  Salvador - BA  40140-030  Brazil,,AWM Diversificado
8,208,House of the Seven Lamps,museum,R. de Sao Francisco  3 - Centro  Salvador - BA  40020-320  Brazil,,AWM Diversificado
9,164,Cinema e Video,movie_theater,Patamares  Salvador - State of Bahia  41741-590  Brazil,"2,666666667",AWM Diversificado
10,22,JH Decorated Cakes,bakery,Caminho 7 - Cajazeiras 6  Salvador - BA  41336-100  Brazil,,AWM Diversificado
