Tecnica AV
Grupo: [134, 204, 214]
Recomendacao Standard
1,193,Muncab - National Museum of Afro Brazilian Culture,museum,R. das Vassouras  25 - Centro Historico  Salvador - BA  40020-056  Brazil
2,199,Museum of Brazilian Music,museum,R. das Laranjeiras  28 - Pelourinho  Salvador - BA  40026-230  Brazil
3,85,Farol da Barra,beach,Farol da Barra  Salvador - State of Bahia  Brazil
4,349,Shopping Capemi Salvador,shopping_mall,R. da Alfazema  752 - Caminho das arvores  Salvador - BA  41820-710  Brazil
5,378,Forte de Santo Antonio alem do Carmo,tourist_attraction,Largo de Santo Antonio Alem do Carmo  s/n - Santo Antonio  Salvador - BA  40301-330  Brazil
6,352,Cia Maritima Salvador Shopping,shopping_mall,Salvador Shopping - Caminho das arvores  Salvador - BA  41820-000  Brazil
7,342,Shopping Paralela,shopping_mall,Av. Luis Viana Filho  8544 - Alphaville  Salvador - BA  41730-101  Brazil
8,341,Shopping da Bahia,shopping_mall,Av. Tancredo Neves  148 - Caminho das arvores  Salvador - BA  41820-972  Brazil
9,140,CAFETERIA FLORIDA,cafe,Av. Anita Garibaldi  1815 - Ondina  Salvador - BA  40170-120  Brazil
10,83,Ondina Beach,beach,Ondina Beach - Ondina  Salvador - State of Bahia  40170-010  Brazil

Recomendacao Diversificada
1,193,Muncab - National Museum of Afro Brazilian Culture,museum,R. das Vassouras  25 - Centro Historico  Salvador - BA  40020-056  Brazil
2,85,Farol da Barra,beach,Farol da Barra  Salvador - State of Bahia  Brazil
3,349,Shopping Capemi Salvador,shopping_mall,R. da Alfazema  752 - Caminho das arvores  Salvador - BA  41820-710  Brazil
4,378,Forte de Santo Antonio alem do Carmo,tourist_attraction,Largo de Santo Antonio Alem do Carmo  s/n - Santo Antonio  Salvador - BA  40301-330  Brazil
5,140,CAFETERIA FLORIDA,cafe,Av. Anita Garibaldi  1815 - Ondina  Salvador - BA  40170-120  Brazil
6,420,MIni Zoo (animais domesticos),zoo,Stella Maris  Salvador - State of Bahia  41600-090  Brazil
7,46,Blue Beach Bar,bar,R. Barro Vermelho  310 - Rio Vermelho  Salvador - BA  41940-340  Brazil
8,319,Divino Fogao - Salvador Norte,restaurant,Rodovia  BA-526  305 - Sao Cristovao  Salvador - BA  41510-000  Brazil
9,236,LGBT Night Club,night_club,Av. Reitor Miguel Calmon  2596-2754 - Canela  Salvador - BA  40231-300  Brazil
10,199,Museum of Brazilian Music,museum,R. das Laranjeiras  28 - Pelourinho  Salvador - BA  40026-230  Brazil
